model,main_language,cer,cer_full,wer,coverage,semantic_error_count,semantic_error_rate,semantic_document_score,semantic_has_error_pct,n
Churro 3B,Sanskrit,1070.2640384959416,1071.7401369986474,16422.467890823336,0.9118033333333333,0.0,0.0,0.6039316392146161,0.0,60
Churro 3B,Slovenian,16.151429111479782,19.338322018602852,25.848669648750867,0.9060866666666667,0.7333333333333333,0.002321400566242924,0.6156699476482002,0.4,30
Churro 3B,Spanish,884.3274224060814,887.2092486766851,1356.1238337132704,0.8515750000000001,13.816666666666666,0.03110220030788865,0.6056373637587356,0.6833333333333333,60
Churro 3B,Swedish,151.9927303758982,160.8515958732329,112.41141151111967,0.7955094339622641,4.962264150943396,0.00920687130598256,0.5828416262155902,0.6226415094339622,53
Churro 3B,Turkish,53.05368608912271,66.89395282462144,86.14824196442932,0.5383866666666666,0.0,0.0,0.6235508574793108,0.0,30
Churro 3B,Vietnamese,62.04183182085187,65.98466538912803,166.66666666666666,0.7819933333333334,0.0,0.0,0.5177026238861168,0.0,30
Qwen 2.5 VL 3B,Arabic,697.0991042602242,697.0991042602242,677.886254105963,0.980651724137931,0.0,0.0,0.5001983317414654,0.0,29
Qwen 2.5 VL 3B,Bangla,126.00504994614602,126.00504994614602,169.55264759975066,0.9262433333333334,0.23333333333333334,0.0007388995286798962,0.6405051603474703,0.06666666666666667,30
Qwen 2.5 VL 3B,Bulgarian,278.72992445965804,278.72992445965804,34.53726069969162,0.9932185185185185,0.0,0.0,0.718343266168569,0.0,27
Qwen 2.5 VL 3B,Catalan,202.26947953273697,203.2484505791969,227.3422174081071,0.82103,25.566666666666666,0.045239433754153284,0.5263079726372746,0.9,30
Qwen 2.5 VL 3B,Chinese,1132.35348678707,1133.5713827211437,1812.128806865649,0.8759119047619047,0.9761904761904762,0.0016601878846776805,0.5261309514096278,0.023809523809523808,42
Qwen 2.5 VL 3B,Czech,12.204912394736953,12.204912394736953,37.6908253490179,0.9814655172413793,1.9310344827586208,0.005094658972973534,0.7310461629866547,0.5517241379310345,29
